Ueberdeckung,Anzahl
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,3
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,2
23,3
24,0
25,1
26,5
27,2
28,3
29,2
30,4
31,0
32,4
33,6
34,2
35,3
36,7
37,7
38,6
39,3
40,7
41,6
42,4
43,8
44,14
45,6
46,16
47,17
48,11
49,23
50,26
51,32
52,47
53,74
54,64
55,68
56,69
57,80
58,84
59,80
60,119
61,94
62,96
63,96
64,100
65,87
66,98
67,89
68,62
69,79
70,86
71,76
72,77
73,58
74,63
75,58
76,70
77,56
78,43
79,37
80,32
81,36
82,32
83,27
84,15
85,15
86,14
87,9
88,9
89,10
90,13
91,5
92,9
93,7
94,6
95,5
96,3
97,4
98,5
99,5
